# Version = 1.0.1, Revision date = 13-Dec-2019
# Position of each body read from file SunEarthMars.txt, at each time step.
# Mars_x	Mars_y	Mars_z	Sun_x	Sun_y	Sun_z	Earth_x	Earth_y	Earth_z	
2.2799e+11	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	1.4960e+11	0.0000e+00	0.0000e+00	
2.2799e+11	8.6652e+07	0.0000e+00	1.2066e-01	-3.2520e+02	0.0000e+00	1.4960e+11	1.0724e+08	0.0000e+00	
2.2799e+11	1.7330e+08	0.0000e+00	4.8264e-01	-6.5040e+02	0.0000e+00	1.4960e+11	2.1448e+08	0.0000e+00	
2.2799e+11	2.5996e+08	0.0000e+00	1.0859e+00	-9.7561e+02	0.0000e+00	1.4960e+11	3.2172e+08	0.0000e+00	
2.2799e+11	3.4661e+08	0.0000e+00	1.9305e+00	-1.3008e+03	0.0000e+00	1.4960e+11	4.2896e+08	0.0000e+00	
2.2799e+11	4.3326e+08	0.0000e+00	3.0165e+00	-1.6260e+03	0.0000e+00	1.4960e+11	5.3620e+08	0.0000e+00	
2.2799e+11	5.1991e+08	0.0000e+00	4.3437e+00	-1.9512e+03	0.0000e+00	1.4960e+11	6.4344e+08	0.0000e+00	
2.2799e+11	6.0656e+08	0.0000e+00	5.9123e+00	-2.2764e+03	0.0000e+00	1.4960e+11	7.5068e+08	0.0000e+00	
2.2799e+11	6.9321e+08	0.0000e+00	7.7222e+00	-2.6016e+03	0.0000e+00	1.4960e+11	8.5792e+08	0.0000e+00	
2.2799e+11	7.7987e+08	0.0000e+00	9.7734e+00	-2.9268e+03	0.0000e+00	1.4960e+11	9.6516e+08	0.0000e+00	
2.2799e+11	8.6652e+08	0.0000e+00	1.2066e+01	-3.2520e+03	0.0000e+00	1.4960e+11	1.0724e+09	0.0000e+00	
2.2798e+11	9.5317e+08	0.0000e+00	1.4600e+01	-3.5772e+03	0.0000e+00	1.4960e+11	1.1796e+09	0.0000e+00	
2.2798e+11	1.0398e+09	0.0000e+00	1.7375e+01	-3.9024e+03	0.0000e+00	1.4959e+11	1.2869e+09	0.0000e+00	
2.2798e+11	1.1265e+09	0.0000e+00	2.0391e+01	-4.2276e+03	0.0000e+00	1.4959e+11	1.3941e+09	0.0000e+00	
2.2798e+11	1.2131e+09	0.0000e+00	2.3649e+01	-4.5528e+03	0.0000e+00	1.4959e+11	1.5013e+09	0.0000e+00	
2.2798e+11	1.2998e+09	0.0000e+00	2.7148e+01	-4.8779e+03	0.0000e+00	1.4959e+11	1.6086e+09	0.0000e+00	
2.2798e+11	1.3864e+09	0.0000e+00	3.0888e+01	-5.2031e+03	0.0000e+00	1.4959e+11	1.7158e+09	0.0000e+00	
2.2798e+11	1.4731e+09	0.0000e+00	3.4870e+01	-5.5283e+03	0.0000e+00	1.4959e+11	1.8230e+09	0.0000e+00	
2.2798e+11	1.5597e+09	0.0000e+00	3.9093e+01	-5.8535e+03	0.0000e+00	1.4959e+11	1.9303e+09	0.0000e+00	
2.2798e+11	1.6464e+09	0.0000e+00	4.3557e+01	-6.1787e+03	0.0000e+00	1.4959e+11	2.0375e+09	0.0000e+00	
2.2798e+11	1.7330e+09	0.0000e+00	4.8263e+01	-6.5038e+03	0.0000e+00	1.4958e+11	2.1447e+09	0.0000e+00	
2.2798e+11	1.8197e+09	0.0000e+00	5.3210e+01	-6.8290e+03	0.0000e+00	1.4958e+11	2.2520e+09	0.0000e+00	
2.2798e+11	1.9063e+09	0.0000e+00	5.8398e+01	-7.1542e+03	0.0000e+00	1.4958e+11	2.3592e+09	0.0000e+00	
2.2798e+11	1.9930e+09	0.0000e+00	6.3827e+01	-7.4793e+03	0.0000e+00	1.4958e+11	2.4664e+09	0.0000e+00	
2.2798e+11	2.0796e+09	0.0000e+00	6.9498e+01	-7.8045e+03	0.0000e+00	1.4958e+11	2.5736e+09	0.0000e+00	
2.2798e+11	2.1663e+09	0.0000e+00	7.5410e+01	-8.1296e+03	0.0000e+00	1.4958e+11	2.6809e+09	0.0000e+00	
2.2798e+11	2.2529e+09	0.0000e+00	8.1563e+01	-8.4548e+03	0.0000e+00	1.4957e+11	2.7881e+09	0.0000e+00	
2.2797e+11	2.3396e+09	0.0000e+00	8.7958e+01	-8.7799e+03	0.0000e+00	1.4957e+11	2.8953e+09	0.0000e+00	
2.2797e+11	2.4262e+09	0.0000e+00	9.4594e+01	-9.1050e+03	0.0000e+00	1.4957e+11	3.0025e+09	0.0000e+00	
2.2797e+11	2.5129e+09	0.0000e+00	1.0147e+02	-9.4302e+03	0.0000e+00	1.4957e+11	3.1097e+09	0.0000e+00	
2.2797e+11	2.5995e+09	0.0000e+00	1.0859e+02	-9.7553e+03	0.0000e+00	1.4957e+11	3.2170e+09	0.0000e+00	
2.2797e+11	2.6861e+09	0.0000e+00	1.1595e+02	-1.0080e+04	0.0000e+00	1.4956e+11	3.3242e+09	0.0000e+00	
2.2797e+11	2.7728e+09	0.0000e+00	1.2355e+02	-1.0406e+04	0.0000e+00	1.4956e+11	3.4314e+09	0.0000e+00	
2.2797e+11	2.8594e+09	0.0000e+00	1.3139e+02	-1.0731e+04	0.0000e+00	1.4956e+11	3.5386e+09	0.0000e+00	
2.2797e+11	2.9461e+09	0.0000e+00	1.3948e+02	-1.1056e+04	0.0000e+00	1.4956e+11	3.6458e+09	0.0000e+00	
2.2797e+11	3.0327e+09	0.0000e+00	1.4780e+02	-1.1381e+04	0.0000e+00	1.4955e+11	3.7530e+09	0.0000e+00	
