# Version = 1.0.1, Revision date = 13-Dec-2019
# Energies of bodies read from file SunEarthMars.txt, at each time step.
# Time_step	Potential_energy	Kinetic_energy	Total_energy
105	-11333888618107151164573000142946304.000000	2835099221928454600903212201410560.000000	-8498789396178696563669787941535744.000000
106	-11333888144798583332072299652186112.000000	2835098985274205272298000161439744.000000	-8498789159524378059774299490746368.000000
107	-11333887667013202850439138644066304.000000	2835098746381545583901291738824704.000000	-8498788920631656690077094601818112.000000
108	-11333887184751265668247539838615552.000000	2835098505250611003989878238085120.000000	-8498788679500654664257661600530432.000000
109	-11333886698013050792501618092802048.000000	2835098261881537577301303267164160.000000	-8498788436131513791661067129061376.000000
110	-11333886206798830312676460622512128.000000	2835098016274461925033862737428480.000000	-8498788190524368964103350188507136.000000
111	-11333885711108885541619191498407936.000000	2835097768429522974228861773938688.000000	-8498787942679361990929577421045760.000000
112	-11333885210943490874647907150069760.000000	2835097518346859075466853198331904.000000	-8498787692596631222720301648314368.000000
113	-11333884706302925318766722434465792.000000	2835097266026613767475160563056640.000000	-8498787440276311551291561871409152.000000
114	-11333884197187479410194798277033984.000000	2835097011468925977295088993173504.000000	-8498787185718554009360461587283968.000000
115	-11333883683597441379308286389518336.000000	2835096754673940396575466647977984.000000	-8498786928923500406272067438116864.000000
116	-11333883165533094844797320056274944.000000	2835096495641803446347378597036032.000000	-8498786669891291398449941459238912.000000
117	-11333882642994734954567078630129664.000000	2835096234372658665338148392796160.000000	-8498786408622075712768177933910016.000000
118	-11333882115982654550679732250214400.000000	2835095970866655356882622621941760.000000	-8498786145115999770257861931696128.000000
119	-11333881584497151086883469483048960.000000	2835095705123938789090381747191808.000000	-8498785879373212297793087735857152.000000
120	-11333881048538519711083469681459200.000000	2835095437144662876982290782617600.000000	-8498785611393856257640426595418112.000000
121	-11333880508107071712085976694128640.000000	2835095166928975770971691708055552.000000	-8498785341178095364653532682649600.000000
122	-11333879963203109155325197514964992.000000	2835094894477031386079449537576960.000000	-8498785068726077192784995673964544.000000
123	-11333879413826929494549320710488064.000000	2835094619788981331483420071559168.000000	-8498784794037948163065900638928896.000000
124	-11333878859978857853622645411545088.000000	2835094342864981251586725234343936.000000	-8498784517113876602035920177201152.000000
125	-11333878301659191686293360184655872.000000	2835094063705187367253239253696512.000000	-8498784237954004319040120930959360.000000
126	-11333877738868253810582754946973696.000000	2835093782309756475807588660805632.000000	-8498783956558497334775166286168064.000000
127	-11333877171606355515297073547182080.000000	2835093498678848256878161503977472.000000	-8498783672927506681958159739781120.000000
128	-11333876599873821924300615116128256.000000	2835093212812621237171841224671232.000000	-8498783387061200687128773891457024.000000
129	-11333876023670971243928651143577600.000000	2835092924711237402160025084887040.000000	-8498783098959733841768626058690560.000000
130	-11333875442998133209731499187765248.000000	2835092634374857584392605739778048.000000	-8498782808623275625338893447987200.000000
131	-11333874857855630639730449165844480.000000	2835092341803646075183989665038336.000000	-8498782516051983988085707197382656.000000
132	-11333874268243795575318827849744384.000000	2835092046997768318770087943208960.000000	-8498782221246027256548739906535424.000000
133	-11333873674162955446203943584006144.000000	2835091749957390335847563960254464.000000	-8498781924205565686817131927175168.000000
134	-11333873075613451517151159995334656.000000	2835091450682679300034585708986368.000000	-8498781624930772217116574286348288.000000
135	-11333872472595613523710794641965056.000000	2835091149173803537870825789063168.000000	-8498781323421810562300721156325376.000000
136	-11333871865109789648177238791684096.000000	2835090845430932528817461406990336.000000	-8498781019678857119359777384693760.000000
137	-11333871253156316543629837643808768.000000	2835090539454238634639431286390784.000000	-8498780713702077908990406357417984.000000
138	-11333870636735535474833954825043968.000000	2835090231243891911258664937193472.000000	-8498780405491643563575289887850496.000000
139	-11333870015847806153299027671646208.000000	2835089920800068755665367206985728.000000	-8498780095047737397633660464660480.000000
140	-11333869390493465232104401382932480.000000	2835089608122942682545981426237440.000000	-8498779782370521973097667653271552.000000
141	-11333868760672872422759513295159296.000000	2835089293212690665351464745959424.000000	-8498779467460181757408048549199872.000000
142	-11333868126386382825087782317195264.000000	2835088976069489101072022013739008.000000	-8498779150316893147555008000032768.000000
143	-11333867487634346927226608930521088.000000	2835088656693516692540867290857472.000000	-8498778830940830234685741639663616.000000
144	-11333866844417129052371448898781184.000000	2835088335084952719051966942019584.000000	-8498778509332176333319481956761600.000000
145	-11333866196735095829560767199313920.000000	2835088011243979918663801152471040.000000	-8498778185491115910896966046842880.000000
146	-11333865544588604664460991954681856.000000	2835087685170780452974097804034048.000000	-8498777859417824211486894150647808.000000
147	-11333864887978029103639615783305216.000000	2835087356865537060041337081954304.000000	-8498777531112491467137526397927424.000000
148	-11333864226903731164449085235134464.000000	2835087026328435360227760688594944.000000	-8498777200575296380682076849963008.000000
149	-11333863561366093616828929783365632.000000	2835086693559660397434858022895616.000000	-8498776867806432642933319457046528.000000
150	-11333862891365480783974605191643136.000000	2835086358559401827250136911183872.000000	-8498776532806078956724468280459264.000000
151	-11333862216902273129982631719469056.000000	2835086021327846422957343662669824.000000	-8498776195574426707025288056799232.000000
152	-11333861537976855730635548053733376.000000	2835085681865184993065490710528000.000000	-8498775856111670737570057343205376.000000
153	-11333860854589609050029874453938176.000000	2835085340171607769622838184509440.000000	-8498775514418001280407036269428736.000000
154	-11333860166740918163948149606973440.000000	2835084996247308443442160034906112.000000	-8498775170493609720505989572067328.000000
155	-11333859474431163536486893772341248.000000	2835084650092480705336230212009984.000000	-8498774824338682831150663560331264.000000
156	-11333858777660741772643691705401344.000000	2835084301707318822578574969536512.000000	-8498774475953422373604364432441344.000000
157	-11333858076430049477416128161513472.000000	2835083951092019368285729774895104.000000	-8498774125338030109130398386618368.000000
158	-11333857370739469420743732613873664.000000	2835083598246779492034982398918656.000000	-8498773772492689352247997911531520.000000
159	-11333856660589405125153117458923520.000000	2835083243171798649246629826134016.000000	-8498773417417606475906487632789504.000000
160	-11333855945980260113170895093104640.000000	2835082885867276295340969041068032.000000	-8498773060112983241369173748613120.000000
161	-11333855226912435601480668699164672.000000	2835082526333413615120553938518016.000000	-8498772700579021409899362457223168.000000
162	-11333854503386332806766041459851264.000000	2835082164570412369848690716704768.000000	-8498772338815920436917350743146496.000000
163	-11333853775402362169082653412687872.000000	2835081800578477203092447090966528.000000	-8498771974823885542450958625144832.000000
164	-11333853042960929516800126167810048.000000	2835081434357814487801147686912000.000000	-8498771608603115028998978480898048.000000
165	-11333852306062456819189145831211008.000000	2835081065908627714620355613032448.000000	-8498771240153829104568790218178560.000000
166	-11333851564707349904619334013026304.000000	2835080695231125562342404708630528.000000	-8498770869476224918737681607819264.000000
167	-11333850818896030742361376819249152.000000	2835080322325516709759628813008896.000000	-8498770496570513456140995702816768.000000
168	-11333850068628916689999941928484864.000000	2835079947192012141507370979164160.000000	-8498770121436904548492570949320704.000000
169	-11333849313906432022648724660420608.000000	2835079569830821689299469653245952.000000	-8498769744075610333349255007174656.000000
170	-11333848554728998709578411121049600.000000	2835079190242158067153524798521344.000000	-8498769364486840642424886322528256.000000
171	-11333847791097050249274733484834816.000000	2835078808426236871390897895374848.000000	-8498768982670813377883835589459968.000000
172	-11333847023011010916851387071463424.000000	2835078424383271392489941210497024.000000	-8498768598627739524361445860966400.000000
173	-11333846250471321128323131696480256.000000	2835078038113478956154273134542848.000000	-8498768212357842748629610865360896.000000
174	-11333845473478407464646671893266432.000000	2835077649617074582244502844473344.000000	-8498767823861332882402169048793088.000000
175	-11333844692032710341836767477366784.000000	2835077258894280208150267158331392.000000	-8498767433138430133686500319035392.000000
176	-11333843906134665564222159836938240.000000	2835076865945314888957441377042432.000000	-8498767040189351251725470763319296.000000
177	-11333843115784729688718673283383296.000000	2835076470770399409134157711802368.000000	-8498766645014330279584515571580928.000000
178	-11333842320983333907969030777470976.000000	2835076073369756282530805284077568.000000	-8498766247613578201898977796816896.000000
179	-11333841521730925555517019775827968.000000	2835075673743609752380030125604864.000000	-8498765847987315226676237346799616.000000
180	-11333840718027965799964483017244672.000000	2835075271892184061914478268121088.000000	-8498765446135782314510757052547072.000000
181	-11333839909874897363169189530959872.000000	2835074867815706336670557260480512.000000	-8498765042059191602959384573902848.000000
182	-11333839097272179107889972842070016.000000	2835074461514403702184674651537408.000000	-8498764635757775982166050493956096.000000
183	-11333838280220269896885666475671552.000000	2835074052988505589836247203840000.000000	-8498764227231763730588666968408064.000000
184	-11333837458719626287072094743166976.000000	2835073642238240854543939376513024.000000	-8498763816481385432528155366653952.000000
185	-11333836632770716364580128024428544.000000	2835073229263841809990929449222144.000000	-8498763403506873978128446271782912.000000
186	-11333835802373998992168599844552704.000000	2835072814065540769860395701633024.000000	-8498762988308457645847451839496192.000000
187	-11333834967529944561811389797105664.000000	2835072396643571200757021020258304.000000	-8498762570886373937515121080270848.000000
188	-11333834128239023465482377475653632.000000	2835071976998168875128497505304576.000000	-8498762151240854590353879970349056.000000
189	-11333833284501708400998451687456768.000000	2835071555129568412501012650131456.000000	-8498761729372140564958191340748800.000000
190	-11333832436318469760333492026081280.000000	2835071131038009620547524678909952.000000	-8498761305280460139785967347171328.000000
191	-11333831583689794076362442580951040.000000	2835070704723730001097982602117120.000000	-8498760878966064651725212282257408.000000
192	-11333830726616151741059182945632256.000000	2835070276186969361825344643923968.000000	-8498760450429182379233838301708288.000000
193	-11333829865098033898984675636936704.000000	2835069845427969816245578242195456.000000	-8498760019670064659199849698164736.000000
194	-11333828999135920165484837103206400.000000	2835069412446972901413898531373056.000000	-8498759586688947840531690875256832.000000
195	-11333828128730299379277620647559168.000000	2835068977244223036689282163015680.000000	-8498759151486076342588338484543488.000000
196	-11333827253881660379080979573112832.000000	2835068539819965794352210395529216.000000	-8498758714061694584728769177583616.000000
197	-11333826374590503532827913251454976.000000	2835068100174445593761659880472576.000000	-8498758274416058515527005674405888.000000
198	-11333825490857313067550356558315520.000000	2835067658307912618884130303639552.000000	-8498757832549401025126978558099456.000000
199	-11333824602682591657024318078976000.000000	2835067214220613018460855226859520.000000	-8498757388461979215024215155539968.000000
200	-11333823710066837363339787971330048.000000	2835066767912798705840591246196736.000000	-8498756942154038657499196725133312.000000
201	-11333822813010559777801802461741056.000000	2835066319384721017911342654291968.000000	-8498756493625838759890459807449088.000000
202	-11333821911514254656657342494408704.000000	2835065868636630715100361440362496.000000	-8498756042877623941556981054046208.000000
203	-11333821005578431591211444295696384.000000	2835065415668782593060165717590016.000000	-8498755589909648998151278578106368.000000
204	-11333820095203604784455162519355392.000000	2835064960481432023904025902579712.000000	-8498755134722172184090384313352192.000000
205	-11333819180390286133536542605443072.000000	2835064503074835532666717018783744.000000	-8498754677315450600869825586659328.000000
206	-11333818261138985229760620780322816.000000	2835064043449249644383014089654272.000000	-8498754217689735585377606690668544.000000
207	-11333817337450220887804470125133824.000000	2835063581604932613469949048913920.000000	-8498753755845288850795273379643392.000000
208	-11333816409324521145717200575791104.000000	2835063117542145576648315347402752.000000	-8498753291782375569068885228388352.000000
209	-11333815476762397900646857572352000.000000	2835062651261149670638906435960832.000000	-8498752825501248230007951136391168.000000
210	-11333814539764381496485560264425472.000000	2835062182762206608623268068851712.000000	-8498752357002175464323044498997248.000000
211	-11333813598330999971282418587926528.000000	2835061712045581562547459820879872.000000	-8498751886285418985195711070470144.000000
212	-11333812652462783668929551692464128.000000	2835061239111538551436036660002816.000000	-8498751413351245117493515032461312.000000
213	-11333811702160262933319078727647232.000000	2835060763960343323695810464448512.000000	-8498750938199920186084020566622208.000000
214	-11333810747423972720029137270472704.000000	2835060286592264510037354629562368.000000	-8498750460831708209991782640910336.000000
215	-11333809788254454902166892539019264.000000	2835059807007570164710490247266304.000000	-8498749981246884737456402291752960.000000
216	-11333808824652242129467472896589824.000000	2835059325206530071347295319752704.000000	-8498749499445712634580929880260608.000000
217	-11333807856617876275038043561263104.000000	2835058841189416895883609366331392.000000	-8498749015428459379154434194931712.000000
218	-11333806884151910741200815819587584.000000	2835058354956500998412262692618240.000000	-8498748529195409742788553126969344.000000
219	-11333805907254889706905964103335936.000000	2835057866508056774251351728193536.000000	-8498748040746832356193860071718912.000000
220	-11333804925927359656946672057974784.000000	2835057375844359771640477509484544.000000	-8498747550083000461766946851913728.000000
221	-11333803940169876299488160183746560.000000	2835056882965684962358488769495040.000000	-8498747057204191913590423717675008.000000
222	-11333802949982988425166621339811840.000000	2835056387872311353409500365193216.000000	-8498746562110676495296368671195136.000000
223	-11333801955367263271362322094882816.000000	2835055890564517375336874850123776.000000	-8498746064802745896025447244759040.000000
224	-11333800956323251934554464521814016.000000	2835055391042582035144727081254912.000000	-8498745565280669899409737440559104.000000
225	-11333799952851521652123315189317632.000000	2835054889306786645680181129248768.000000	-8498745063544734429982381756645376.000000
226	-11333798944952639661449140666105856.000000	2835054385357414825633370278461440.000000	-8498744559595225412276522691067904.000000
227	-11333797932627168588226189093502976.000000	2835053879194747311390666296131584.000000	-8498744053432420700374770493947904.000000
228	-11333796915875677975677736253915136.000000	2835053370819071756867468590579712.000000	-8498743545056606218810267663335424.000000
229	-11333795894698739672870067143442432.000000	2835052860230672357214662749585408.000000	-8498743034468067892116156697280512.000000
230	-11333794869096927834712475971878912.000000	2835052347429839072190657395163136.000000	-8498742521667089338982570880139264.000000
231	-11333793839070825839486293803794432.000000	2835051832416858402789347328786432.000000	-8498742006653968013157698778431488.000000
232	-11333792804621003230414796421595136.000000	2835051315192020885229893475893248.000000	-8498741489428982921645655249125376.000000
233	-11333791765748054914994360958320640.000000	2835050795755617632192209065345024.000000	-8498740969992437282802151892975616.000000
234	-11333790722452557353977290837458944.000000	2835050274107939756356207326003200.000000	-8498740448344618174081835814879232.000000
235	-11333789674735096231487926337273856.000000	2835049750249282982087819914117120.000000	-8498739924485812672939354119733248.000000
236	-11333788622596266455022644590804992.000000	2835049224179940151449216968818688.000000	-8498739398416326303573427621986304.000000
237	-11333787566036660626234813517398016.000000	2835048695900209871110091663474688.000000	-8498738870136450755124721853923328.000000
238	-11333786505056869040934791822704640.000000	2835048165410386712514871047487488.000000	-8498738339646482328419920775217152.000000
239	-11333785439657488912461965853458432.000000	2835047632710771011715505204494336.000000	-8498737806946717324285708345540608.000000
240	-11333784369839122065841740383780864.000000	2835047097801661375381687307862016.000000	-8498737272037461266920805379342336.000000
241	-11333783295602370326099520187793408.000000	2835046560683359868947624351498240.000000	-8498736734919010457151895836295168.000000
242	-11333782216947835518260710039617536.000000	2835046021356168557847523329310720.000000	-8498736195591666960413186710306816.000000
243	-11333781133876128690722751568150528.000000	2835045479820390083976343538630656.000000	-8498735654055738606746408029519872.000000
244	-11333780046387856280197067974901760.000000	2835044936076328818611301187059712.000000	-8498735110311527461585766787842048.000000
245	-11333778954483636252610128529850368.000000	2835044390124292015333373999316992.000000	-8498734564359343660816002227109888.000000
246	-11333777858164068127144328793423872.000000	2835043841964585774802035093274624.000000	-8498734016199482352342293700149248.000000
247	-11333776757429786010627202531459072.000000	2835043291597520232902023710769152.000000	-8498733465832265201264426517266432.000000
248	-11333775652281400951456191372853248.000000	2835042739023403796135822183366656.000000	-8498732913257996578859616886063104.000000
249	-11333774542719535527243783014973440.000000	2835042184242547753309674359750656.000000	-8498732358476987773934108655222784.000000
250	-11333773428744812315602465155186688.000000	2835041627255263969690576392028160.000000	-8498731801489547769451136459735040.000000
251	-11333772310357863117516762345635840.000000	2835041068061866039927781342576640.000000	-8498731242295997077588981003059200.000000
252	-11333771187559315122285180711075840.000000	2835040506662668135131294577197056.000000	-8498730680896646987153886133878784.000000
253	-11333770060349795519206226376261632.000000	2835039943057987308714882978807808.000000	-8498730117291808786952095700877312.000000
254	-11333768928729940720950442320723968.000000	2835039377248139461170808823480320.000000	-8498729551481800683318881193820160.000000
255	-11333767792700396363560408378769408.000000	2835038809233443951755848207826944.000000	-8498728983466952411804560170942464.000000
256	-11333766652261789636334630675152896.000000	2835038239014219563266024925036544.000000	-8498728413247570649529358053539840.000000
257	-11333765507414766175315689044180992.000000	2835037666590787384340371981991936.000000	-8498727840823978214514564758765568.000000
258	-11333764358159971616546163320160256.000000	2835037091963469656539426992422912.000000	-8498727266196502536467488631160832.000000
259	-11333763204498056207754651764785152.000000	2835036515132590927266736783753216.000000	-8498726689365465280487914981031936.000000
260	-11333762046429660973297715784974336.000000	2835035936098472861622086666289152.000000	-8498726110331188111675629118685184.000000
261	-11333760883955436160903953642422272.000000	2835035354861442889312784984571904.000000	-8498725529093992695130416354426880.000000
262	-11333759717076043547517009667293184.000000	2835034771421828440046140083142656.000000	-8498724945654214531010117280727040.000000
263	-11333758545792140298394509762363392.000000	2835034185779956367068708003119104.000000	-8498724360012183354865049455820800.000000
264	-11333757370104376661265052189327360.000000	2835033597936156982391558606159872.000000	-8498723772168219678873493583167488.000000
265	-11333756190013421330601308919431168.000000	2835033007890761750947266360770560.000000	-8498723182122660156114794862084096.000000
